2025-11-20 15:41:42,693 INFO    MainThread:7308 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-20 15:41:42,694 INFO    MainThread:7308 [wandb_setup.py:_flush():80] Configure stats pid to 7308
2025-11-20 15:41:42,694 INFO    MainThread:7308 [wandb_setup.py:_flush():80] Loading settings from C:\Users\jespe\.config\wandb\settings
2025-11-20 15:41:42,694 INFO    MainThread:7308 [wandb_setup.py:_flush():80] Loading settings from C:\Users\jespe\DeepLearning\neural-numpy\wandb\settings
2025-11-20 15:41:42,694 INFO    MainThread:7308 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-20 15:41:42,694 INFO    MainThread:7308 [wandb_init.py:setup_run_log_directory():713] Logging user logs to C:\Users\jespe\DeepLearning\neural-numpy\wandb\run-20251120_154142-jhra5p34\logs\debug.log
2025-11-20 15:41:42,695 INFO    MainThread:7308 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to C:\Users\jespe\DeepLearning\neural-numpy\wandb\run-20251120_154142-jhra5p34\logs\debug-internal.log
2025-11-20 15:41:42,695 INFO    MainThread:7308 [wandb_init.py:init():840] calling init triggers
2025-11-20 15:41:42,695 INFO    MainThread:7308 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10, '_wandb': {}}
2025-11-20 15:41:42,695 INFO    MainThread:7308 [wandb_init.py:init():888] starting backend
2025-11-20 15:41:44,979 INFO    MainThread:7308 [wandb_init.py:init():891] sending inform_init request
2025-11-20 15:41:45,030 INFO    MainThread:7308 [wandb_init.py:init():899] backend started and connected
2025-11-20 15:41:45,057 INFO    MainThread:7308 [wandb_init.py:init():969] updated telemetry
2025-11-20 15:41:45,114 INFO    MainThread:7308 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-20 15:41:45,680 INFO    MainThread:7308 [wandb_init.py:init():1040] starting run threads in backend
2025-11-20 15:41:45,737 INFO    MainThread:7308 [wandb_run.py:_console_start():2504] atexit reg
2025-11-20 15:41:45,737 INFO    MainThread:7308 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-20 15:41:45,737 INFO    MainThread:7308 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-20 15:41:45,737 INFO    MainThread:7308 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-20 15:41:45,740 INFO    MainThread:7308 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-20 15:41:45,744 INFO    wandb-AsyncioManager-main:7308 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-20 15:41:45,744 INFO    wandb-AsyncioManager-main:7308 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
